year,month,ecmwf,meteo_france,ukmo,dwd,cmcc,ncep,jma,eccc
2022,1,5,8,600,21,35,2,2,0
2022,2,5,8,600,21,35,2,3,0
2022,3,5,8,600,21,35,2,3,0
2022,4,5,8,601,21,35,2,3,0
2022,5,5,8,601,21,35,2,3,0
2022,6,5,8,601,21,35,2,3,0
2022,7,5,8,601,21,35,2,3,0
2022,8,5,8,601,21,35,2,3,0
2022,9,5,8,601,21,35,2,3,3
2022,10,5,8,601,21,35,2,3,3
2022,11,51,8,601,21,35,2,3,3
2022,12,51,8,601,21,35,2,3,3
2023,1,51,8,601,21,35,2,3,3
2023,2,51,8,601,21,35,2,3,3
2023,3,51,8,602,21,35,2,3,3
2023,4,51,8,602,21,35,2,3,3
2023,5,51,8,602,21,35,2,3,3
2023,6,51,8,602,21,35,2,3,3
2023,7,51,8,602,21,35,2,3,3
